nimads_study_id,nimads_name,match_status,matched_pmid,matched_author,matched_year,matched_title,match_score,match_count
"(60)lei,2016","(60)lei,2016",fuzzy_match,27975159,Lei,2017,Neural correlates of increased risk-taking propensity in sleep-deprived people along with a changing risk level.,0.9,1
"(1)Banko, 2011","(1)Banko, 2011",fuzzy_match,21325535,Bankó,2011,Dissociating the effect of noise on sensory processing and overall decision difficulty.,0.95,1
"(12)bach, 2011","(12)bach, 2011",fuzzy_match,21451019,Bach,2011,"The known unknowns: neural representation of second-order uncertainty, and ambiguity.",0.95,1
"(14)krug, 2014","(14)krug, 2014",fuzzy_match,24355752,Krug,2014,Investigation of decision-making under uncertainty in healthy subjects: a multi-centric fMRI study.,0.95,1
"(42)shao,2014","(42)shao,2014",fuzzy_match,25498405,Shao,2015,The neural basis of social risky decision making in females with major depressive disorder.,0.9,1
"(17)dreher, 2006","(17)dreher, 2006",fuzzy_match,16033924,Dreher,2006,Neural coding of distinct statistical properties of reward information in humans.,0.95,1
(2)Clausse(2013),(2)Clausse(2013),fuzzy_match,23313780,Causse,2013,Affective decision making under uncertainty during a plausible aviation task: an fMRI study.,0.923076923076923,1
"(32)tanaka, 2015","(32)tanaka, 2015",fuzzy_match,25698984,Tanaka,2014,Are ambiguity aversion and ambiguity intolerance identical? A neuroeconomics investigation.,0.9,1
"(9)Noppeny, 2011","(9)Noppeny, 2011",fuzzy_match,20505110,Noppeney,2010,Perceptual decisions formed by accumulation of audiovisual evidence in prefrontal cortex.,0.883333333333333,1
"(16)koester, 2013","(16)koester, 2013",fuzzy_match,23392532,Koester,2013,Decision-making in polydrug amphetamine-type stimulant users: an fMRI study.,0.95,1
"(20)filimon, 2013","(20)filimon, 2013",fuzzy_match,23365248,Filimon,2013,How embodied is perceptual decision making? Evidence for separate processing of perceptual and motor decisions.,0.95,1
"(21)yarkoni,2005","(21)yarkoni,2005",fuzzy_match,15795135,Yarkoni,2005,Sustained neural activity associated with cognitive control during temporally extended decision making.,0.95,1
(34)Kononen 2003,(34)Kononen 2003,fuzzy_match,14700259,Könönen,2003,Visual processing of coherent rotation in the central visual field: an fMRI study.,0.95,1
"(1)O’doherty,2003","(1)O’doherty,2003",fuzzy_match,12944524,O'Doherty,2003,Dissociating valence of outcome from behavioral control in human orbital and ventral prefrontal cortices.,0.888888888888889,1
(33)Frostman 2008,(33)Frostman 2008,fuzzy_match,18981414,Forstmann,2008,Striatum and pre-SMA facilitate decision-making under time pressure.,0.875,1
"(47)Rogalsky,2011","(47)Rogalsky,2011",fuzzy_match,21864197,Rogalsky,2012,Risky decision-making in older adults without cognitive deficits: an fMRI study of VMPFC using the Iowa Gambling Task.,0.95,1
(27)Lamichanne 2016,(27)Lamichanne 2016,fuzzy_match,27177981,Lamichhane,2016,Salience Network Activity in Perceptual Decisions.,0.9,1
"(39)bytristsky,2008","(39)bytristsky,2008",fuzzy_match,18572984,Bystritsky,2008,A preliminary study of fMRI-guided rTMS in the treatment of generalized anxiety disorder.,0.9,1
"(34)Blankestein, 2017","(34)Blankestein, 2017",fuzzy_match,28686139,Blankenstein,2017,Neural Mechanisms Underlying Risk and Ambiguity Attitudes.,0.956521739130435,1
"(34)Blankestein, 2018","(34)Blankestein, 2018",fuzzy_match,29408323,Blankenstein,2018,Individual differences in risk-taking tendencies modulate the neural processing of risky and ambiguous decision-making in adolescence.,0.956521739130435,1
"(33)Barkley-levenson, 2015","(33)Barkley-levenson, 2015",fuzzy_match,24474790,Barkley-Levenson,2014,Neural representation of expected value in the adolescent brain.,0.9,1
"(29)Paulus, 2003","(29)Paulus, 2003",manual_override,12655327,Paulus,2003,Schizophrenia subjects show intact success-related neural activation but impaired uncertainty processing during decision-making.,1,3
"(7)Kayser,2010a","(7)Kayser,2010a",manual_override,20032247,Kayser,2010,The functional anatomy of a perceptual decision in the human brain.,1,2
(8)Kayser 2010b,(8)Kayser 2010b,manual_override,21106817,Kayser,2010,Neural representations of relevant and irrelevant features in perceptual decision making.,1,2
"(27)Paulus, 2002a","(27)Paulus, 2002a",manual_override,11751032,Paulus,2002,Behavioral and functional neuroimaging evidence for prefrontal dysfunction in methamphetamine-dependent subjects.,1,3
"(28)Paulus, 2002b","(28)Paulus, 2002b",manual_override,11906224,Paulus,2002,Error rate and outcome predictability affect neural activation in prefrontal cortex and anterior cingulate during decision-making.,1,3
"(36)Paulus, 2002c","(36)Paulus, 2002c",manual_override,12062884,Paulus,2002,Parietal dysfunction is associated with increased outcome-related decision-making in schizophrenia patients.,1,3
(3)Guo,(3)Guo,manual_override,25206656,,,,0,0
(8)Daw,(8)Daw,manual_override,16778890,,,,0,0
(9)Diuk,(9)Diuk,manual_override,23536092,,,,0,0
(10)morris,(10)morris,manual_override,25055179,,,,0,0
(7)Boorman,(7)Boorman,manual_override,19524531,,,,0,0
"(3)Bolla, 2003","(3)Bolla, 2003",no_match,,,,,0,0
"(15)Lewis, 2000","(15)Lewis, 2000",manual_override,10982748,,,,0,0
(21)Georgie 2018,(21)Georgie 2018,no_match,,,,,0,0
(32)Yeon and Rahnev 2018,(32)Yeon and Rahnev 2018,no_match,,,,,0,0
"(6)Ho, 2009","(6)Ho, 2009",exact_match,19587274,Ho,2009,Domain general mechanisms of perceptual decision making in human cortex.,1,1
(3)Guo(2013),(3)Guo(2013),exact_match,25206656,Guo,2013,Brain areas activated by uncertain reward-based decision-making in healthy volunteers.,1,1
(11)Jung2014,(11)Jung2014,exact_match,23355606,Jung,2014,Synchrony of anterior cingulate cortex and insular-striatal activation predicts ambiguity aversion in individuals with low impulsivity.,1,1
"(2)Bode, 2012","(2)Bode, 2012",exact_match,21933719,Bode,2012,The neural encoding of guesses in the human brain.,1,1
"(35)Hsu, 2005","(35)Hsu, 2005",exact_match,16339445,Hsu,2005,Neural systems responding to degrees of uncertainty in human decision-making.,1,1
(5)Bach(2009),(5)Bach(2009),exact_match,19211872,Bach,2009,Neural activity associated with the passive prediction of ambiguity and risk for aversive events.,1,1
"(1)Bjork,2007","(1)Bjork,2007",exact_match,17475792,Bjork,2007,Developmental differences in posterior mesofrontal cortex recruitment by risky rewards.,1,1
"(11)Jung, 2014","(11)Jung, 2014",exact_match,23355606,Jung,2014,Synchrony of anterior cingulate cortex and insular-striatal activation predicts ambiguity aversion in individuals with low impulsivity.,1,1
(19)Chen 2015,(19)Chen 2015,exact_match,25798082,Chen,2015,Multiple brain networks contribute to the acquisition of bias in perceptual decision-making.,1,1
